open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_vol,taker_buy_quote_vol,ignore,mid_price,half_spread,trade_intensity
2026-01-19 17:43:00,93161.26,93161.26,93161.25,93161.25,1.56423,2026-01-19 17:43:59.999,145725.6346963,169,1.26088,117465.1695088,0,93161.255,0.004999999997380655,169.0
2026-01-19 17:44:00,93161.25,93210.79,93161.25,93196.39,8.36764,2026-01-19 17:44:59.999,779851.247507,2042,5.75693,536511.9107387,0,93186.01999999999,24.7699999999968,2042.0
2026-01-19 17:45:00,93196.38,93196.39,93170.65,93179.0,6.22387,2026-01-19 17:45:59.999,579969.196859,1701,1.19261,111119.1141258,0,93183.51999999999,12.87000000000262,1701.0
2026-01-19 17:46:00,93179.0,93202.17,93178.99,93202.1,2.58601,2026-01-19 17:46:59.999,240992.0777918,1167,1.44084,134263.368068,0,93190.58,11.589999999996508,1167.0
2026-01-19 17:47:00,93202.1,93217.26,93202.1,93213.9,4.78358,2026-01-19 17:47:59.999,445889.9338364,1357,2.60864,243148.1780414,0,93209.68,7.57999999999447,1357.0
2026-01-19 17:48:00,93213.9,93224.58,93204.57,93224.57,1.44292,2026-01-19 17:48:59.999,134501.2257728,910,1.00231,93430.1627299,0,93214.57500000001,10.00499999999738,910.0
2026-01-19 17:49:00,93224.57,93224.58,93196.08,93219.25,9.31771,2026-01-19 17:49:59.999,868601.7974422,1644,4.59762,428592.7410892,0,93210.33,14.25,1644.0
2026-01-19 17:50:00,93219.25,93219.26,93213.86,93213.86,0.60642,2026-01-19 17:50:59.999,56528.4147409,410,0.19074,17779.9825453,0,93216.56,2.6999999999970896,410.0
2026-01-19 17:51:00,93213.87,93245.82,93213.86,93245.81,6.81274,2026-01-19 17:51:59.999,635227.3404662,1321,6.12896,571479.5923524,0,93229.84,15.980000000003201,1321.0
2026-01-19 17:52:00,93245.82,93250.0,93238.59,93238.59,5.84435,2026-01-19 17:52:59.999,544975.1218375,1042,1.0393,96908.7451222,0,93244.295,5.705000000001746,1042.0
2026-01-19 17:53:00,93238.59,93256.69,93238.59,93256.68,1.6584,2026-01-19 17:53:59.999,154637.8019366,609,1.22375,114104.6776581,0,93247.64,9.05000000000291,609.0
2026-01-19 17:54:00,93256.68,93256.69,93232.42,93232.43,9.66904,2026-01-19 17:54:59.999,901654.0129127,1210,0.41955,39121.2442925,0,93244.555,12.135000000002037,1210.0
2026-01-19 17:55:00,93232.43,93249.05,93232.42,93249.04,3.65951,2026-01-19 17:55:59.999,341227.1805587,785,1.03017,96047.9672163,0,93240.735,8.315000000002328,785.0
2026-01-19 17:56:00,93249.04,93249.04,93204.64,93217.76,12.4878,2026-01-19 17:56:59.999,1164253.594999,6149,1.82464,170074.9015666,0,93226.84,22.19999999999709,6149.0
2026-01-19 17:57:00,93217.76,93224.28,93204.64,93224.27,10.35357,2026-01-19 17:57:59.999,965095.34141,1459,3.04484,283804.8172457,0,93214.45999999999,9.819999999999709,1459.0
2026-01-19 17:58:00,93224.27,93243.31,93224.27,93243.31,3.33731,2026-01-19 17:58:59.999,311142.1154777,981,2.7122,252861.4651768,0,93233.79000000001,9.519999999996799,981.0
2026-01-19 17:59:00,93243.32,93243.32,93234.82,93242.99,7.697,2026-01-19 17:59:59.999,717657.8235098,1408,3.73849,348565.1726688,0,93239.07,4.25,1408.0
2026-01-19 18:00:00,93242.99,93242.99,93234.82,93234.82,6.24048,2026-01-19 18:00:59.999,581870.4849612,947,1.24063,115672.4336153,0,93238.905,4.084999999999127,947.0
2026-01-19 18:01:00,93234.83,93258.3,93234.82,93258.3,2.42844,2026-01-19 18:01:59.999,226452.6524962,1199,1.54188,143774.1150786,0,93246.56,11.739999999997963,1199.0
2026-01-19 18:02:00,93258.3,93259.39,93219.35,93219.36,4.32384,2026-01-19 18:02:59.999,403187.874711,4154,1.84979,172486.0648688,0,93239.37,20.0199999999968,4154.0
2026-01-19 18:03:00,93219.36,93219.36,93150.0,93181.45,3.84369,2026-01-19 18:03:59.999,358169.5955503,3483,1.63556,152383.5516892,0,93184.68,34.68000000000029,3483.0
2026-01-19 18:04:00,93181.46,93186.16,93122.06,93148.76,7.53329,2026-01-19 18:04:59.999,701831.1814446,2545,1.15481,107580.0214355,0,93154.11,32.05000000000291,2545.0
2026-01-19 18:05:00,93148.76,93148.76,93143.26,93146.43,2.35252,2026-01-19 18:05:59.999,219126.1075179,748,1.0253,95500.3285212,0,93146.01,2.75,748.0
2026-01-19 18:06:00,93146.43,93155.45,93145.3,93145.78,4.04195,2026-01-19 18:06:59.999,376501.4780403,1369,2.32828,216873.9847184,0,93150.375,5.07499999999709,1369.0
2026-01-19 18:07:00,93145.79,93145.79,93120.77,93120.78,1.39661,2026-01-19 18:07:59.999,130075.1848715,1049,0.37986,35379.0532819,0,93133.28,12.509999999994761,1049.0
2026-01-19 18:08:00,93120.77,93139.23,93111.0,93139.22,3.47029,2026-01-19 18:08:59.999,323147.3885915,1862,2.44467,227644.1796903,0,93125.11499999999,14.114999999997963,1862.0
2026-01-19 18:09:00,93139.22,93172.45,93139.22,93172.44,4.25361,2026-01-19 18:09:59.999,396239.6452934,1582,3.59414,334796.9225772,0,93155.83499999999,16.614999999997963,1582.0
2026-01-19 18:10:00,93172.44,93192.64,93172.44,93182.24,2.92869,2026-01-19 18:10:59.999,272913.0844811,1619,1.36812,127482.7102658,0,93182.54000000001,10.099999999998545,1619.0
