Price,Close,High,Low,Open,Volume
Ticker,XLE,XLE,XLE,XLE,XLE
Date,,,,,
1999-02-10,5.6616530418396,5.723698554626883,5.6306302854459584,5.66940873093801,138600
1999-02-11,5.615119457244873,5.638386526819092,5.5298068688060695,5.638386526819092,433600
1999-02-12,5.498783588409424,5.615118925258707,5.498783588409424,5.553073412272423,484600
1999-02-16,5.460003852844238,5.568583474917846,5.4057140418074345,5.54143904276903,73200
1999-02-17,5.40571403503418,5.483270907846721,5.397958347752925,5.428981096877942,83400
1999-02-18,5.421228885650635,5.452251654667234,5.343671963109138,5.397961808888186,166000
1999-02-19,5.39020299911499,5.452248501263076,5.343668872503925,5.444492813494565,260600
1999-02-22,5.444494247436523,5.46000562705885,5.382448728947218,5.428982867814197,159000
1999-02-23,5.3979597091674805,5.483272290777887,5.3979597091674805,5.4600052230659575,619200
1999-02-24,5.374693393707275,5.483273058226614,5.374693393707275,5.413471845321325,69000
1999-02-25,5.401837348937988,5.436737472754356,5.366936278382331,5.370814595883755,89200
1999-02-26,5.366936683654785,5.460004949845331,5.366936683654785,5.42122650559927,49800
1999-03-01,5.312646865844727,5.382448065541957,5.297135488134232,5.378570694484014,26600
1999-03-02,5.258358001708984,5.343670594657065,5.2350909309049625,5.320403523853043,110200
1999-03-03,5.374693393707275,5.397960464675705,5.2661137291879365,5.304892180801986,206600
1999-03-04,5.568583965301514,5.599606717197344,5.42122589379632,5.42122589379632,180800
1999-03-05,5.6732869148254395,5.715942730489257,5.615118774591888,5.7081870415740745,185400
1999-03-08,5.7547197341918945,5.770231108138503,5.681041181315068,5.704308242234982,215200
1999-03-09,5.692677021026611,5.785745310198708,5.669409948733587,5.692677021026611,158000
1999-03-10,6.018414497375488,6.033925874946044,5.715942634749658,5.715942634749658,3467600
1999-03-11,6.103727340698242,6.266596812305184,6.018414760332702,6.2045512993120635,1818000
1999-03-12,6.0804619789123535,6.220064422305749,6.018416448515289,6.173530274507951,1208600
1999-03-15,6.033926010131836,6.11148289972222,5.96024743839066,6.095971521804143,1046000
1999-03-16,6.002903461456299,6.0339262183630495,5.956369326096173,5.979636393776236,546600
1999-03-17,6.158015251159668,6.165770937873975,6.018412890302144,6.033924263730758,725600
1999-03-18,6.235575199127197,6.282109342404266,6.1890410558501285,6.26659796131191,665200
1999-03-19,6.172369956970215,6.296907055723713,6.133452113609747,6.289123487051619,520800
1999-03-22,6.211291790008545,6.257993232038684,6.160699036214196,6.226858937351925,330000
1999-03-23,6.102321147918701,6.164589731060729,6.040052564776674,6.164589731060729,275800
1999-03-24,6.071183681488037,6.156802938534663,6.016698699731093,6.133452232067402,122200
1999-03-25,6.086751461029053,6.117885739602091,5.993348625309936,6.055617182456014,333000
1999-03-26,6.164585113525391,6.195719381775518,6.094533009962602,6.149017979400326,89400
1999-03-29,6.335825443267822,6.398093997992813,6.312474735245951,6.320258304586575,168800
1999-03-30,6.219073295593262,6.304692577510065,6.20350615342657,6.296909006426719,121600
1999-03-31,6.125669479370117,6.273557306699256,6.125669479370117,6.265773736839828,134000
1999-04-01,6.117887020111084,6.1412377339283015,6.051727139367122,6.133454162655896,44000
1999-04-05,6.26577615737915,6.289126875978079,6.117888272919269,6.117888272919269,116800
1999-04-06,6.203502655029297,6.257987621886518,6.1568012548659645,6.250204055192629,85200
1999-04-07,6.141234397888184,6.2035029342419294,6.094532995622875,6.195719367197712,1672800
1999-04-08,6.203502655029297,6.273554755274295,6.145126379896341,6.1684770799780075,1704600
1999-04-09,6.320259094238281,6.351393375490686,6.199614229456641,6.207397799769742,104800
1999-04-12,6.36696195602417,6.413663388464445,6.289126235290379,6.289126235290379,125000
1999-04-13,6.359173774719238,6.409767431596643,6.328039508992339,6.328039508992339,135600
1999-04-14,6.281342029571533,6.390312027606232,6.281342029571533,6.351394171165268,54000
1999-04-15,6.553769111633301,6.584903406700443,6.320261898629739,6.320261898629739,518800
1999-04-16,6.7600321769714355,6.763923487565977,6.569334204264309,6.623819203588776,177000
1999-04-19,6.841757774353027,7.059697726209551,6.833974204643866,6.942944180572128,491000
1999-04-20,6.732783794403076,6.865104400767067,6.666623966292192,6.865104400767067,772800
1999-04-21,6.631598472595215,6.740568400548658,6.569329942336105,6.693867002854325,362400
1999-04-22,6.748356342315674,6.748356342315674,6.53819991643041,6.616035629721249,791800
1999-04-23,6.662738800048828,6.7250073869651725,6.612146048250915,6.721116075354518,32600
1999-04-26,6.514847278594971,6.616033675992504,6.479821693028716,6.616033675992504,595600
1999-04-27,6.721113681793213,6.725004992018072,6.584900721351029,6.588792981718783,164800
1999-04-28,6.942943572998047,7.044129970362368,6.756137916325454,6.756137916325454,207400
1999-04-29,7.15310525894165,7.192023133038178,6.662740045325411,6.678307194964022,480200
1999-04-30,7.0324554443359375,7.129749586990966,6.974078198628718,7.067481031646067,1932200
1999-05-03,7.207584381103516,7.207584381103516,6.974077327720033,7.036345875288961,553200
1999-05-04,7.215368270874023,7.254286114837745,7.156991979999778,7.215368270874023,717000
1999-05-05,7.110291481018066,7.207585628359731,7.012996383533604,7.207585628359731,762000
1999-05-06,7.090829849243164,7.160881955327893,6.981859906444696,7.145314820642398,805000
1999-05-07,7.133644104003906,7.141427675884902,7.001323382026983,7.044132552300932,721400
1999-05-10,7.051913261413574,7.199801067116508,7.051913261413574,7.125857639336374,541400
1999-05-11,7.07526969909668,7.1064039992027155,7.036351823964134,7.0986204241762065,143200
1999-05-12,6.942943572998047,6.974077849110145,6.787272192437553,6.911809296885948,1063400
1999-05-13,6.977976322174072,7.051919818711301,6.942949755287506,6.989651211040561,529400
1999-05-14,6.927375793457031,6.989644339915072,6.888457951920756,6.942942930071542,509800
